"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_12","GCBS15_14","GCBS15_11","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","Political_IdeologyNumeric","VSA_Conservatism","VSA_Traditionalism","VSA_Authoritarianism","VSA_General","BFI_Agreeableness","BFI_Extraversion","BFI_Conscientiousness","BFI_Neuroticism","BFI_Openness","GCBS_GovernmentMalfeasance","GCBS_Extraterrestrial","GCBS_Malevolent","GCBS_Wellbeing","GCBS_Control","GCBS_General"
"S042","USA",46.54615,"22/10/2024","11:37:05","chrome","false","Mac OS",1531,824,"Woman","Bachelor",55,"Asian","Yes","likely",4,2,0,0,0,1,3,4,4,4,0.8557,"Conservative","None or Independent",0,0,0,0,0,0,"No impact","Tetris",24.0863,"21000",0.454383333333333,"it's a fun game, honestly","yes","no",6,3,2,8,4.33333333333333,2.5,1.5,5,5,5,0,0,0,0,0,0
"S044","USA",44.1385833333333,"18/10/2024","07:23:38","chrome","false","Chrome OS",1366,599,"Woman","High School",61,"white","No","likely",4,3,0,3,4,1,1,4,4,1,0.137616666666667,"Moderate","Republican",1,1,4,1,3,1,"Greatly improved","BadNewsGame",23.8203,"7450",0.78005,"loved the promts","yes","yes",4,5,1.5,5.5,4,4,1.5,5,3.5,1.5,0.666666666666667,0.333333333333333,1,3,3,1.6
"S046","USA",29.2429666666667,"04/11/2024","07:35:33","edge-chromium","false","Windows 10",1912,920,"Man","Master",43,"Multiracial","Yes","likely",4,2,0,0,4,0,3,4,4,1,0.169733333333333,"Moderate","None or Independent",0,0,1,0,0,2,"Slightly improved","BadNewsGame",13.1381,"18.513",0.510583333333333,"The conversational style","Yes","Yes",4,2,0,0,0.666666666666667,2.5,1,5,5,1.5,1,0,0,0,0.333333333333333,0.266666666666667
"S047","USA",51.3216,"18/10/2024","07:19:39","chrome","false","Windows 10",1366,641,"Man","Master",40,"Black","Yes","likely",3,3,0,4,3,4,0,4,0,4,0.27825,"Moderate","None or Independent",2,3,4,4,4,4,"No impact","Tetris",21.1649,"30000",0.91445,"so simple, yet so complicated","yes","yes",4,6,3.5,6,5.16666666666667,4.5,3.5,5,1,3.5,4,2.33333333333333,4,4,3.66666666666667,3.6
"S048","USA",29.4224666666667,"18/10/2024","04:17:27","chrome","false","Windows 10",2048,998,"Man","High School",29,"Mexican","Yes","unlikely",1,3,2,3,3,3,3,2,3,3,0.0632666666666667,"Slightly Liberal","Democrat",2,4,3,2,3,3,"Improved","Tetris",16.6228333333333,"2200",0.555383333333333,"The music was nice and the block shape challenged my brain","Yes","Yes",3,4.5,3,4,3.83333333333333,3,4,3,3,3,2.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.4
"S049","USA",28.2374166666667,"18/10/2024","03:20:24","firefox","false","Mac OS",2048,1015,"Man","High School",59,"Caucasian","Yes","likely",1,4,0,3,0,3,0,4,0,4,0.21265,"Slightly Conservative","None or Independent",2,3,3,3,3,3,"No impact","Tetris",15.1755666666667,"7455",0.4661,"The strategy","Yes","Yes",5,6.5,1,5,4.16666666666667,5,4,5,1.5,5,1.66666666666667,1.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.26666666666667
"S052","USA",39.55925,"19/10/2024","10:07:19","chrome","false","Windows 10",1536,695,"Woman","Bachelor",45,"African American","Yes","likely",3,1,0,2,1,1,0,4,3,4,0.12895,"Moderate","None or Independent",2,1,3,0,0,1,"No impact","Tetris",17.4156833333333,"5000",0.611983333333333,"Trying to change the angle of the pieces before they dropped into place.","yes","yes",4,1.5,2.5,5.5,3.16666666666667,3.5,2,5,3.5,4.5,1,0.666666666666667,0,0,1.66666666666667,0.666666666666667
"S053","USA",37.9537,"18/10/2024","06:26:03","chrome","false","Windows 10",1366,641,"Woman","Master",54,"ASIAN","Yes","likely",3,4,0,4,4,3,0,4,3,4,0.116933333333333,"Liberal","Democrat",3,3,3,3,3,3,"Greatly improved","BadNewsGame",25.4901166666667,"8300",1.25266666666667,"THE SUGGESTIONS","YES","YES",2,7.5,6.5,7,7,5,3,5,2.5,3,3,3,3,3,3,3
"S055","USA",35.33555,"18/10/2024","04:33:29","chrome","false","Windows 10",1171,1072,"Man","High School",37,"Caucasion","Yes","likely",3,2,2,3,1,0,2,3,3,3,0.476316666666667,"Slightly Conservative","None or Independent",2,2,2,1,2,1,"No impact","Tetris",15.6595833333333,"74000",0.438183333333333,"Choosing where to place the pieces","Yes","Yes",5,4.5,2,3.5,3.33333333333333,3,1.5,3.5,3,4,1,2,1,1.33333333333333,1.66666666666667,1.4
"S056","USA",36.56345,"18/10/2024","04:15:12","chrome","false","Windows 10",1920,945,"Woman","Master",72,"caucasion","Yes","unlikely",3,3,0,4,2,3,1,4,0,3,0.247683333333333,"Moderate","Republican",3,4,4,4,2,3,"No impact","Tetris",17.3173666666667,"4300",0.799083333333333,"being able to choose the location of the dro[","yes","yes",4,5,2,3.5,3.5,4,3,5,1,3.5,2.66666666666667,2,3.66666666666667,3,4,3.06666666666667
